LargeBoxStack50 (K-Cycles);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bullet 2.82;88453;53186;70601;60831;58118;65173;75795;51648;70310;55397;53480;55452;65438;51263;56770;72738;70916;67625;53676;57466;69424;50906;110254;52807;58754;54753;52751;53909;65816;65274;52455;59482;60131;53562;50265;64450;68007;63288;67723;60937;65813;61776;66452;49037;62754;57908;60655;48980;65867;62466;55102;54656;47779;61356;66632;53545;57915;47494;53240;49290;86089;57903;64147;48044;65607;61543;52232;48508;64293;54961;53153;59747;51488;46881;136577;147661;138012;139967;138517;141928;179836;153861;147397;163525;133832;125923;129100;141022;138908;167177;131223;131675;133328;124069;134027;134234;123646;129016;140631;132767;135616;134104;157160;123031;137097;139198;122548;132932;131634;138962;124510;126318;142808;136513;129808;130326;122467;128410;131614;127435;121102;129444;129591;122111;87765;121019;132489;124822;120739; 
ReactPhysics3D 0.6.0_opti_colli;110546;109541;115290;129057;165208;143735;181248;161305;154793;146527;193630;157425;179181;159128;145414;146216;160246;153251;149953;136010;126662;120183;289173;122017;174178;152380;137539;124614;122560;135238;169157;120484;146950;109812;131563;167742;167567;140757;165739;138815;133342;130261;168554;129010;162215;157451;142743;123923;171214;116968;133746;151018;168525;134657;173807;124777;151643;122319;171533;115585;214760;169408;168417;114308;172248;167483;137519;126545;164665;139997;127945;115529;164141;113167;391537;376515;392360;414612;377253;381879;429801;390318;414426;407549;382353;420443;439334;432535;381070;380373;373863;385327;386416;378256;391446;407267;368906;385353;423269;374509;382750;381527;399016;371807;382914;394914;364920;376955;382267;369454;365961;378293;371585;404835;370421;368147;364870;368518;404446;367678;377988;379600;395618;365560;250351;381829;409513;370315;371205; 
ReactPhysics3D 0.6.0_develop;143283;122623;131618;179960;228746;242156;256801;222041;218225;201684;272990;255711;253862;196629;205508;205686;263142;203120;237345;221354;240465;171550;402091;208527;248274;240566;201699;207086;245498;182820;245858;216823;227344;207861;196335;223161;237820;191701;212913;171356;166449;231930;227526;173179;221436;234440;187302;203550;237275;179974;170414;244275;187452;165842;240518;172255;209208;241925;174928;171972;268941;246730;243837;174900;204318;236565;246334;167424;246449;189111;166734;240924;234694;175620;544740;577301;556168;536654;590557;535053;595913;525982;580300;574108;529359;572938;569327;578816;546210;599278;537682;570923;562822;556555;575383;555327;560723;555981;533708;541136;554991;574095;538457;583246;572811;535256;543188;552538;564563;531314;556280;563303;535652;540657;539527;539623;552592;568948;540246;545478;563598;578684;538185;554844;372231;561000;558438;552339;566873; 
ReactPhysics3D 0.6.0_opti;113856;111113;95223;122990;132772;174053;152952;163838;185750;172036;169793;195967;145904;135491;153261;166605;155762;163111;177444;183515;141155;137893;300298;133619;178082;180525;133328;150887;145990;174094;173526;171978;145514;112762;128689;136115;151203;136898;129217;129169;146504;172713;158015;145752;133575;176424;136483;168610;158499;177385;128540;189017;128686;143938;175925;136678;157249;177285;179897;117714;203259;178857;175477;117255;163912;117047;181831;116707;152231;175257;115010;171117;171908;372608;390977;379349;386896;393834;426068;391853;365616;386119;430647;412935;388436;446464;411963;433481;403508;402181;412225;389377;402830;408019;395096;401755;411850;419952;396008;401541;422185;388753;389041;400717;390924;398595;395814;418614;386923;390417;396682;414478;384144;384851;399069;393204;395409;399275;387622;384010;418071;389094;401103;458883;264757;422870;396283;410708;427831; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Memory usage (Kb):;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bullet 2.82;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215;11215; 
ReactPhysics3D 0.6.0_opti_colli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
ReactPhysics3D 0.6.0_develop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
ReactPhysics3D 0.6.0_opti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 
